Nodos,Aristas,Tiempo_Segundos
100,990,0.028278
100,990,0.027458
100,990,0.030768
100,990,0.028810
100,990,0.027060
100,990,0.027750
100,990,0.028054
100,990,0.026566
100,990,0.026907
100,990,0.026964
100,990,0.026524
100,990,0.028827
100,990,0.027101
100,990,0.025417
100,990,0.026428
200,3980,0.338603
200,3980,0.350420
200,3980,0.347134
200,3980,0.340578
200,3980,0.344900
200,3980,0.339142
200,3980,0.340714
200,3980,0.342395
200,3980,0.339320
200,3980,0.336613
200,3980,0.345907
200,3980,0.342414
200,3980,0.340956
200,3980,0.337379
200,3980,0.340510
300,8970,2.306349
300,8970,1.916100
300,8970,2.216159
300,8970,2.428440
300,8970,2.346704
300,8970,1.728416
300,8970,2.401893
300,8970,2.452514
300,8970,2.319719
300,8970,1.774358
300,8970,2.388389
300,8970,2.447071
300,8970,2.101312
300,8970,1.925070
300,8970,2.480709
400,15960,7.002606
400,15960,7.289171
400,15960,6.688166
400,15960,6.993154
400,15960,7.343109
400,15960,6.731276
400,15960,7.075321
400,15960,7.265179
400,15960,6.769974
400,15960,7.115643
400,15960,7.169211
400,15960,6.748987
400,15960,7.507584
400,15960,6.940997
400,15960,7.035894
500,24950,17.168075
500,24950,17.400910
500,24950,17.144755
500,24950,17.223896
500,24950,17.471329
500,24950,17.406545
500,24950,17.504406
500,24950,17.006717
500,24950,17.533197
500,24950,17.390598
500,24950,17.712736
500,24950,17.664659
500,24950,17.629928
500,24950,17.128880
500,24950,17.198100
