Nodos,Aristas,Tiempo_Segundos
100,990,0.004234
100,990,0.004254
100,990,0.004062
100,990,0.004033
100,990,0.004076
100,990,0.004047
100,990,0.004337
100,990,0.004156
100,990,0.003967
100,990,0.003939
100,990,0.004935
100,990,0.004006
100,990,0.003778
100,990,0.003820
100,990,0.003536
200,3980,0.027921
200,3980,0.026041
200,3980,0.025607
200,3980,0.029267
200,3980,0.027363
200,3980,0.026272
200,3980,0.025562
200,3980,0.027943
200,3980,0.027104
200,3980,0.026927
200,3980,0.025792
200,3980,0.030048
200,3980,0.026581
200,3980,0.024651
200,3980,0.026392
300,8970,0.083556
300,8970,0.083557
300,8970,0.083794
300,8970,0.083775
300,8970,0.084513
300,8970,0.082332
300,8970,0.087099
300,8970,0.083634
300,8970,0.084757
300,8970,0.081742
300,8970,0.084257
300,8970,0.083279
300,8970,0.085555
300,8970,0.084110
300,8970,0.085440
400,15960,0.203050
400,15960,0.185704
400,15960,0.184621
400,15960,0.181244
400,15960,0.187062
400,15960,0.185789
400,15960,0.189428
400,15960,0.188746
400,15960,0.321065
400,15960,0.366611
400,15960,0.364115
400,15960,0.365944
400,15960,0.288816
400,15960,0.182795
400,15960,0.184398
500,24950,0.348359
500,24950,0.351449
500,24950,0.387243
500,24950,0.697954
500,24950,0.696371
500,24950,0.397009
500,24950,0.351265
500,24950,0.352004
500,24950,0.374547
500,24950,0.699803
500,24950,0.698996
500,24950,0.408691
500,24950,0.352358
500,24950,0.353340
500,24950,0.353851
